,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,police,police
4,5,pensais,thought
5,7,genre,kind
6,9,laisser,let
7,10,mettre,to put
8,11,aucun,no
9,12,laisse,leash
10,14,chaque,each
11,15,parlé,speak
12,16,arrivé,come
13,17,devrait,should
14,18,bébé,baby
15,19,longtemps,long time
16,20,heures,hours
17,21,vont,will
18,24,aucune,any
19,25,place,square
20,27,compris,understood
21,28,étaient,were
22,29,attention,Warning
23,30,voici,here is
24,31,pourrais,could
25,32,affaire,case
26,33,donner,give
27,35,donné,given
28,37,corps,body
29,38,endroit,place
30,39,yeux,eyes
31,40,façon,way
32,41,écoute,listen
33,42,dont,whose
34,43,trouve,find
35,44,premier,first
36,45,perdu,lost
37,46,main,hand
38,47,côté,side
39,48,pouvoir,power
40,49,vieux,old
41,50,sois,be
42,51,tiens,here
43,52,matin,morning
44,53,tellement,so much
45,54,enfant,child
46,55,point,point
47,56,venu,came
48,57,suite,after
49,58,devant,in front of
50,59,vers,towards
51,60,minutes,minutes
52,61,demandé,request
53,62,mis,placed
54,63,belle,beautiful
55,64,droit,law
56,65,mari,husband
57,66,enfin,finally
58,69,attendez,Wait
59,70,nouvelle,new
60,71,boulot,job
61,72,arrêter,Stop
62,73,dirait,would say
63,76,donne,given
64,78,fin,end
65,79,croire,believe
66,80,gros,large
67,81,plutôt,rather
68,82,aura,will have
69,83,filles,girls
